kepid,name,period,epoch,duration
10811496,K00753.01,19.89913995,175.850252,0.07425833333333333
11818800,K00777.01,40.4195037,173.56469,0.14008333333333334
11918099,K00780.02,7.2406612,137.75545,0.02325
9579641,K00115.03,3.43591631,132.6624,0.13054166666666667
3115833,K00797.01,10.181584004,177.141891,0.14620416666666666
3453214,K00802.01,19.620346923,181.881819,0.08349166666666666
4544670,K00815.01,34.84398644,172.633252,0.12214583333333334
4936180,K00820.01,4.64090031,173.64638,1.4796666666666667
5115978,K00823.01,1.028436523,170.228582,0.077525
6867155,K00868.01,235.9986399,208.399822,0.34285
6526710,K00856.01,39.74893077,172.854644,0.30437916666666665
6599919,K00858.01,13.61014819,173.987319,0.10808333333333332
6862328,K00865.01,119.0207044,222.236492,0.3391875
7031517,K00871.01,12.940668656,179.423014,0.10352083333333334
7380537,K00883.01,2.688899233,170.1020904,0.08803125
8013419,K00901.01,12.732624065,176.939054,0.0920125
8018547,K00902.01,83.92494032,236.76334,0.2829333333333333
8552202,K00914.01,3.886655224,169.73814,0.13185833333333333
9140402,K00928.01,2.494170338,170.852848,0.046754166666666666
8951215,K00924.01,39.4759093,173.31207,0.12366666666666666
9347899,K00935.04,9.61731426,142.47479,0.16121666666666667
2860866,K01103.01,90.1240507,356.23415,0.48537499999999995
10460629,K01168.01,856.672115,228.44988,0.9643333333333333
10319385,K01169.01,0.689210173,133.28584,0.06737083333333332
11502218,K00970.01,3.9886021,171.01852,0.07239999999999999
11180361,K00971.01,0.533059312,171.2274419,0.0775875
10287723,K01174.01,129995.7784,393.59962,0.39199999999999996
11013201,K00972.02,7.82187328,123.49907,0.16007083333333333
9414417,K00974.01,53.5057611,172.98304,0.44006666666666666
2307199,K00151.01,13.4471791,132.830555,0.12689166666666665
2853446,K01118.01,7.37290344,137.60991,0.0905
3942446,K01193.01,119.0624882,149.22223,0.12994999999999998
3554031,K01194.02,14.8623076,354.57297,0.13170833333333332
10743597,K00989.03,16.15811112,143.00233,0.25204166666666666
3644071,K01192.01,1295.362215,176.10646,1.1790416666666665
1431122,K00994.01,4.2989201,132.86187,0.11445833333333333
8260218,K01066.01,5.714817603,355.00831,0.1308858333333333
6359320,K01127.03,2.83668931,353.81531,0.12629166666666666
3447722,K01198.04,1.00861677,132.109479,0.03791666666666667
12105051,K00141.01,2.624234833,132.304988,0.05780833333333333
8240904,K01070.03,92.77779,367.6112,0.2766666666666666
3756801,K01206.01,422.917678,448.49648,1.3030833333333334
8313667,K01145.01,30.5872153,162.8842,0.22374166666666664
10149023,K01081.01,9.95639775,134.29186,0.23395833333333332
9772531,K00950.01,31.201692472,183.4076137,0.08985958333333333
10295951,K01154.01,6.810823723,136.04667,0.33273916666666664
3329204,K01095.01,51.59809554,203.979914,0.08397083333333333
3230491,K01096.01,1500.0,315.33083,0.2962083333333333
2162635,K01032.01,1500.1406772,176.08226,1.0719583333333333
6837146,K01362.01,20.51360192,357.49424,0.14487083333333334
6607286,K01239.01,0.783276173,355.94865,0.06972916666666666
6607286,K01239.02,3.17405898,357.05776,0.09648333333333332
11075279,K01431.01,345.1589354,318.307719,0.31519166666666665
6607447,K01242.01,99.6442783,283.236289,0.21571666666666667
6441738,K01246.01,19.03723442,148.55057,0.141175
8616873,K01251.01,0.576078683,134.107265,0.06802208333333333
8494263,K01255.01,78.9257421,429.37454,0.31330416666666666
10928043,K01315.01,6.84639884,133.76181,0.14549583333333332
10794087,K01316.02,12.37679312,143.3787176,0.16041666666666665
8813698,K01268.01,268.9410974,360.070904,0.2268083333333333
4074736,K01328.01,80.9669561,160.97672,0.10531666666666667
4274548,K01331.01,6.80082032,359.17999,0.08284583333333333
11336883,K01445.02,54.325574,142.236,0.4108333333333333
11336883,K01445.03,20.01959599,150.8362184,0.29166666666666663
8631160,K01271.01,162.0479502,278.880573,0.4123916666666666
9202151,K01393.01,1.694740233,355.357543,0.07026666666666666
4760746,K01455.01,15.068060768,363.549714,0.1375458333333333
9427402,K01397.01,6.247030799,356.90972,0.06186666666666666
3962440,K01208.01,700.00298217,249.44205,0.31885416666666666
3534076,K01209.01,272.0868353,378.13721,0.11310416666666667
4466677,K01338.02,42.0370662,178.25006,0.26175
