name,period,cat_period,epoch,cat_epoch,duration,cat_duration,label
K00752.01,9.488413288567171,9.48803557,132.55951126891227,170.53875,0.11090624999999993,0.1232291666666666,1
K00752.02,52.18757668546626,54.4183827,160.99535501891225,162.51384,0.09389583333333329,0.1877916666666666,1
K00754.01,1.7369553209191793,1.736952453,132.09398992972226,170.307565,0.09024037499999997,0.1002670833333333,0
K00755.01,2.5255797864107445,2.525591777,171.59534190020068,171.59555,0.062043749999999995,0.0689375,1
K00756.01,11.095223808949028,11.09432054,171.15273195884143,171.20116,0.1722937499999999,0.1914374999999999,1
K00756.02,4.1345624275435595,4.13443512,172.9573467505081,172.97937,0.11775749999999995,0.1308416666666666,1
K00756.03,2.7735485484155697,2.56658897,171.21208925050811,179.55437,0.15181249999999996,0.1012083333333333,1
K00114.01,7.362364067519846,7.36178958,132.19197492257481,132.25053,0.146475,0.20925,0
K00757.01,16.068487706715104,16.06864674,141.4905162914593,173.621937,0.1472791666666666,0.1472791666666666,1
K00757.02,41.19238396304244,41.19725502,165.06803254145927,165.00404,0.21219458333333327,0.1929041666666666,1
K00757.03,6.252784351177854,6.252962249,133.7984100414593,171.30126,0.1075791666666666,0.1075791666666666,1
K00001.01,2.4706035335084273,2.470613377,122.76531833931844,122.763305,0.08715949999999992,0.0726329166666666,1
K00002.01,2.2047184378635993,2.204735417,121.36515183872862,121.3585417,0.14582399999999995,0.1620266666666666,1
K00010.01,3.522470439384527,3.522498429,121.11950949956781,121.1194228,0.14659470833333327,0.1332679166666666,1
K00112.02,3.709196592370467,3.709214104,122.86192652552913,133.98318,0.09863249999999994,0.1095916666666666,1
K00112.01,51.09108652642343,51.07926451,133.9083963171958,185.18087,0.23898374999999997,0.2655375,1
K00742.01,11.521933305331281,11.521446064,142.71965514514883,170.839688,0.10616374999999992,0.1516624999999999,0
K00743.01,19.407126983506377,19.40393776,133.57360833018288,172.484253,0.2544895833333333,0.5089791666666666,0
K00744.01,19.218384670380246,19.221388942,146.2170596663567,184.5521637,0.09996729166666665,0.1999345833333333,0
K00744.02,2.037402422284586,2.03746414,131.56615231219004,131.54567,0.0844375,0.120625,0
K00745.01,16.47496060903451,16.46983774,170.19739499042828,180.881761,0.43256583333333326,0.3932416666666666,0
K00746.01,9.273199877356074,9.27358173,136.19699080843827,173.258155,0.12328124999999994,0.1369791666666666,1
K00747.01,6.029322212043907,6.02930329,135.42496253613834,171.602959,0.05932874999999997,0.0659208333333333,1
K00748.01,2.6963248012130876,2.696370652,133.00288296191925,170.73769,0.13548375,0.1505375,0
K00749.01,5.349652259183501,5.349553819,134.34430511394464,171.80694,0.11354249999999996,0.1261583333333333,1
K00749.02,3.941097585287758,3.94105221,132.13999719727798,136.08662,0.09743999999999994,0.1082666666666666,1
K00749.03,8.024162064771334,8.10904807,137.04839219727796,132.8031,0.11986666666666664,0.1498333333333333,1
K00113.01,403.12841165440045,386.6030528,121.1630430468921,166.342079,0.34028499999999995,0.2835708333333333,0
K00750.01,21.674342947484252,21.67699193,149.95589353571137,171.53594,0.20157083333333323,0.1439791666666666,1
K00750.04,36.126798687820205,36.5521313,135.43524353571138,165.0716,0.1137125,0.103375,0
K00751.01,4.996638241427946,4.99677968,171.76003117457483,171.74208,0.07239,0.0904875,1
K00769.01,4.28094230982954,4.280963604,133.3746312872371,171.89659,0.10781249999999995,0.1197916666666666,1
