kepid,name,label,period,epoch,duration
6922244,K00010.01,1,3.522498429,121.1194228,0.1332679166666666
3351888,K00801.01,1,1.625522174,170.8266564,0.0995679166666666
5358624,K00830.01,1,3.525632539,170.0479951,0.10831625
7366258,K00880.02,1,51.53997972,174.055011,0.2666416666666666
7434875,K00884.02,1,20.47748843,178.66786,0.1181833333333333
8150320,K00904.03,1,42.1406089,139.0604,0.2117916666666666
8559644,K00139.01,1,224.7789355,142.095338,0.4662458333333333
9032900,K00134.01,1,67.5923754,151.75056,0.510375
6362874,K01128.01,1,0.974868896,133.076265,0.0674625
10272640,K01074.01,1,3.770551475,357.11836,0.1586541666666666
11974540,K00129.01,1,24.669192732,132.864236,0.2931312499999999
8644288,K00137.01,1,7.641567589,135.407564,0.1420908333333333
8278371,K01150.01,1,0.677374687,133.94573,0.0765041666666666
7778437,K00131.01,1,5.014234733,133.174289,0.1912083333333333
11122894,K01426.02,1,74.92768653,124.99266,0.1975
7532973,K01450.01,1,2.144632238,133.984128,0.2612541666666667
7303287,K01353.01,1,125.86540191,236.659731,0.3757958333333333
10874614,K00017.01,1,3.234699282,121.4865708,0.14974375
9813499,K01505.01,1,5.03257009,137.32638,0.1755416666666666
5031857,K01573.01,1,24.81097206,156.506971,0.1343541666666666
11177543,K01648.01,1,38.3262237,142.08401,0.1280416666666666
8692861,K00172.02,1,242.467406,150.85827,0.5336666666666666
9663113,K00179.02,1,572.376632,306.51006,1.0175
7046804,K00205.01,1,11.720123999,142.173999,0.1251624999999999
10619192,K00203.01,1,1.485710994,132.7935653,0.0953083333333333
9595827,K00217.01,1,3.905081685,133.4150433,0.1175541666666666
9473078,K02079.01,1,0.693842661,132.18157,0.0674874999999999
10024051,K02409.01,1,0.577369336,132.425795,0.0452166666666666
11752632,K02492.01,1,0.984941669,133.31801,0.0821833333333333
11037511,K02580.01,1,3.11604194,133.84988,0.0740125
11253827,K02672.01,1,88.5122014,182.67266,0.2842249999999999
10332213,K02919.01,1,2.522590567,131.64534,0.0585833333333333
6697605,K02851.01,1,3.42064689,132.30629,0.073625
8681833,K02865.01,1,1.311558909,131.53283,0.0799583333333333
6697756,K02798.01,1,0.916142298,132.02221,0.0481458333333333
6964929,K02756.01,1,0.665025941,131.65962,0.0730916666666666
11285870,K03110.01,1,4.48494315,135.01836,0.1146666666666666
10585738,K03032.01,1,0.636424848,131.68872,0.0394583333333333
9468551,K02980.01,1,1.638652525,132.29025,0.0813333333333333
10418224,K00428.01,1,6.8731664,172.518826,0.2857041666666666
11904151,K00072.01,1,0.837491225,131.574858,0.0748333333333333
12470954,K00439.01,1,1.902208647,170.449657,0.0916154166666666
5881120,K04156.01,1,4.85018974,135.31157,0.2365
4458082,K02303.02,1,8.93484887,133.39108,0.1074583333333333
6607644,K04159.01,1,0.971915957,132.16504,0.0667625
1718958,K04053.01,1,1.41975831,132.92,0.0595416666666666
9702006,K04372.01,1,6.24564633,137.16241,0.1024583333333333
6937529,K04382.01,1,2.94648935,132.42208,0.1314583333333333
5371777,K04327.01,1,0.991659646,131.53686,0.0922916666666666
10526887,K04261.01,1,1.450889836,132.2306,0.0730416666666666
9412623,K04640.01,1,6.1082945,131.8756,0.1455416666666666
4735826,K03184.01,1,7.545922037,134.4902954,0.1680374999999999
10653179,K03280.01,1,47.1607932,150.25797,0.1667916666666666
9896558,K01718.02,1,153.348739,190.5347,0.5085416666666667
10795103,K03683.01,1,214.3120439,336.330158,0.6789083333333333
8804845,K02039.02,1,0.762132307,131.61542,0.0508333333333333
9602613,K02612.01,1,4.61225043,133.86134,0.1122916666666666
6444896,K03138.01,1,8.68910764,133.23559,0.0484458333333333
12405333,K03009.01,1,0.764863517,132.13343,0.0483333333333333
6184894,K05245.01,1,7.20281185,135.19499,0.1179374999999999
9715631,K05706.01,1,425.483539,149.0438,0.744
3645438,K04385.02,1,386.370512,452.874,0.4586249999999999
10717220,K06228.01,1,21.0907909,133.96316,0.1979583333333333
4735826,K03184.02,1,11.3220104,142.7143,0.2441666666666666
