kepid,name,label,period,epoch,duration,depth,p_rad
12017109,K02106.01,1,9.75374033,134.06014,0.09783333333333333,430.8,1.87
9225395,K02107.01,1,81.3153052,175.9957,0.24195833333333333,715.5,2.55
10709622,K02108.01,1,51.3283527,177.67418,0.38987499999999997,692.3,3.06
11499228,K02109.01,1,19.7919389,149.30719,0.15779166666666666,383.7,2.58
9022166,K02175.01,1,26.8475962,142.17023,0.4195,254.1,3.2
10965588,K02177.01,1,62.8917493,139.12778,0.284625,791.0,2.5
10670119,K02179.01,1,14.87149773,137.69573,0.10031666666666667,944.9,1.59
10670119,K02179.02,1,2.732767897,354.09581,0.04625833333333333,613.1,1.42
4043443,K00231.01,0,119.8401019,161.863461,0.15331666666666666,5448.7,26.96
8491277,K00234.01,1,9.61375316,132.185679,0.19391666666666665,797.9,3.27
8613535,K02263.01,1,29.9685917,147.8598,0.27825,309.5,1.91
12256520,K02264.01,1,33.2407985,143.46683,0.19479166666666664,341.9,1.51
3337432,K02265.01,0,2.97600846,132.98121,0.17808333333333332,103.2,2.27
5629538,K02345.01,1,15.18727049,134.05495,0.18787500000000001,292.5,1.94
8561231,K02346.01,1,28.6853212,159.87094,0.26279166666666665,689.1,2.69
8235924,K02347.01,1,0.588001053,132.058754,0.0477125,297.4,0.99
6941084,K02348.01,1,85.7357202,170.98121,0.3177083333333333,747.7,2.94
6200235,K02350.01,1,1.078389713,133.25041,0.05580833333333333,300.5,1.98
11460462,K02110.01,1,5.03728033,134.1094,0.0859125,76.3,1.55
8612275,K02111.01,1,3.289726319,131.75522,0.09697499999999999,234.9,1.37
8612275,K02111.02,1,7.18644594,136.62345,0.06238333333333333,402.0,2.19
7207061,K02113.01,1,15.94248453,146.33157,0.14539166666666664,1093.7,2.62
4545187,K00223.02,1,41.0081117,147.03382,0.18233333333333335,1004.5,2.64
7286911,K02180.01,1,11.55562042,138.19752,0.069825,441.5,2.11
8591173,K02181.01,1,12.2885046,141.61869,0.11695833333333333,342.1,3.22
6962109,K02182.01,1,17.13263125,147.1546,0.1273125,850.2,2.31
5706595,K02183.01,1,19.0231361,139.65988,0.14295833333333333,401.6,2.04
5706595,K02183.02,1,4.57948235,135.09685,0.12941666666666665,207.1,1.35
10489345,K02266.01,1,1.003931703,132.09988,0.059837499999999995,491.1,1.6
11774303,K02269.01,0,0.614083885,132.46969,0.040904166666666665,389.5,2.55
10329469,K02271.01,1,55.8224775,169.03741,0.227375,879.6,2.13
9717943,K02273.01,1,6.11010439,136.91214,0.09641666666666666,59.7,0.93
8026752,K00240.01,1,4.286866229,138.614882,0.18635833333333332,1321.9,4.14
1872821,K02351.01,1,10.27380957,134.65748,0.13549999999999998,352.8,1.68
8013439,K02352.01,1,13.39155154,133.05499,0.14129166666666665,48.9,1.58
8013439,K02352.02,1,5.62904396,134.74679,0.15539583333333332,39.5,1.39
8013439,K02352.03,1,8.2562857,137.9267,0.08490833333333332,37.3,1.49
7207061,K02113.02,1,12.33087921,361.9744,0.12776666666666664,872.2,2.34
6921944,K02114.01,1,4.421566535,132.18465,0.08845416666666667,684.0,2.19
9532052,K02115.01,1,15.72585941,133.98774,0.15951666666666664,1313.1,2.69
8164012,K02116.01,1,1.252753881,133.17054,0.08946666666666667,200.0,2.44
4140813,K02117.01,1,13.36019864,131.81481,0.11616666666666665,699.9,1.84
8611781,K02185.01,1,76.957056,192.33682,0.3979583333333333,367.1,2.09
5601258,K02191.01,1,8.84784273,140.15085,0.08571666666666666,460.2,1.15
7960980,K02274.01,1,9.98970266,133.76102,0.15416666666666667,988.4,2.48
8107225,K00235.01,1,5.63252508,133.81818,0.08936666666666666,634.4,2.04
3458028,K02276.01,1,1.442592305,134.07188,0.12374166666666667,166.0,2.67
3342794,K02278.01,1,14.17222858,142.60134,0.10957083333333334,246.8,2.39
3342794,K02278.02,1,4.92031063,135.40577,0.16858333333333334,81.0,1.18
5716932,K02358.01,1,56.4931698,143.99262,0.3626666666666667,411.9,4.43
11288051,K00241.01,1,13.82142084,131.79237,0.16604166666666664,765.2,2.2
7515670,K02360.01,0,2.30367952,133.76909,0.12874166666666664,136.4,1.3
11566256,K02361.01,1,5.78387049,135.5798,0.05819166666666667,413.3,2.07
